0,34
1,37
2,40
3,43
4,46
5,49
6,52
7,55
8,58
9,61
10,64
11,67
12,70
13,73
14,76
15,79
16,82
17,85
18,88
19,91
20,94
21,97
22,100
23,103
24,106
25,109
26,112
27,115
28,118
29,121
30,124
31,127
32,130
33,133
34,136
35,139
36,142
37,145
38,148
39,151
40,154
41,157
42,160
43,163
44,166
45,169
46,172
47,175
48,178
49,181
50,184
51,187
52,190
53,193
54,196
55,199
56,202
57,205
58,208
59,211
60,214
61,217
62,220
63,223
64,226
65,229
66,232
67,235
68,238
69,241
70,244
71,247
72,250
73,253
74,256
75,259
76,262
77,265
78,268
79,271
80,274
81,277
82,280
83,283
84,286
85,289
86,292
87,295
88,298
89,301
90,304
91,307
92,310
93,313
94,316
95,319
96,322
97,325
98,328
99,331
