0.00,32.34
1.00,33.65
2.00,34.96
3.00,36.27
4.00,37.58
5.00,38.89
6.00,40.20
7.00,41.51
8.00,42.82
9.00,44.13
10.00,45.44
11.00,46.75
12.00,48.06
13.00,49.37
14.00,50.68
15.00,51.99
16.00,53.30
17.00,54.61
18.00,55.92
19.00,57.23
20.00,58.54
21.00,59.85
22.00,61.16
23.00,62.47
24.00,63.78
25.00,65.09
26.00,66.40
27.00,67.71
28.00,69.02
29.00,70.33
30.00,71.64
31.00,72.95
32.00,74.26
33.00,75.57
34.00,76.88
35.00,78.19
36.00,79.50
37.00,80.81
38.00,82.12
39.00,83.43
40.00,84.74
41.00,86.05
42.00,87.36
43.00,88.67
44.00,89.98
45.00,91.29
46.00,92.60
47.00,93.91
48.00,95.22
49.00,96.53
50.00,97.84
51.00,99.15
52.00,100.46
53.00,101.77
54.00,103.08
55.00,104.39
56.00,105.70
57.00,107.01
58.00,108.32
59.00,109.63
60.00,110.94
61.00,112.25
62.00,113.56
63.00,114.87
64.00,116.18
65.00,117.49
66.00,118.80
67.00,120.11
68.00,121.42
69.00,122.73
70.00,124.04
71.00,125.35
72.00,126.66
73.00,127.97
74.00,129.28
75.00,130.59
76.00,131.90
77.00,133.21
78.00,134.52
79.00,135.83
80.00,137.14
81.00,138.45
82.00,139.76
83.00,141.07
84.00,142.38
85.00,143.69
86.00,145.00
87.00,146.31
88.00,147.62
89.00,148.93
90.00,150.24
91.00,151.55
92.00,152.86
93.00,154.17
94.00,155.48
95.00,156.79
96.00,158.10
97.00,159.41
98.00,160.72
99.00,162.03
